19/6,"12,578","3,991","3,991","4,452","3,245","3,228",17,"108,464","25,940","82,524","81,965",,"9,550","4,641","-1,878","-4,919",31.73,25.80,12.35,9.37,31.43,803.22,"2,351",13.77
19/9,"13,222","3,825","3,825","4,503","3,221","3,208",13,"106,314","20,691","85,623","85,049",,"9,550","-2,278",-83,-329,28.93,24.36,12.67,9.95,24.17,836.86,"2,337",13.87
19/12,"11,982","2,523","2,523","1,794","1,183","1,198",-15,"107,121","20,062","87,059","86,506",,"9,550",837,-501,-129,21.06,9.87,12.39,9.96,23.04,850.82,873,12.42
20/3,"11,784","3,150","3,150","4,156","2,939","2,930",9,"108,594","24,862","83,732","83,170",562,"9,550","2,336","-1,392",-86,26.73,24.94,13.05,9.79,29.69,823.16,"2,134",9.71
20/6,"13,188","3,947","3,947","4,020","2,935","2,931",4,"110,282","23,386","86,896","86,330",566,"9,550","7,855",-214,"-5,501",29.93,22.25,12.20,9.40,26.91,837.40,"2,135",10.46
